Location,Xylem Type,Species name,Sample number,Sample length,wood density,SW/DW,SWC,Ks,Mean-Ks,max-Ks ,Dv,Dh,VAF,VF,P,P_g, K,Fd,Removed K,removed Fd
T,DP,Dipterocarpus alatus ,5,145,0.59,1.96,0.96,2.37,1.78,2.39,137.1,175.27,12.36,7.55,0.06,0.0414,0.31,98.13,,
T,DP,Dipterocarpus alatus ,5,145,0.59,1.96,0.96,2.39,1.78,2.39,137.1,175.27,12.36,7.55,0.07,0.0483,0.37,115.31,,
T,DP,Dipterocarpus alatus ,6,164,0.57,2.03,1.03,1.54,3.13,4.28,105.89,144.36,13.58,13.52,0.02,0.0122,NA,NA,,
T,DP,Dipterocarpus alatus ,6,164,0.57,2.03,1.03,2.09,3.13,4.28,105.89,144.36,13.58,13.52,0.03,0.0183,0.07,38.27,,
T,DP,Dipterocarpus alatus ,6,164,0.57,2.03,1.03,2.78,3.13,4.28,105.89,144.36,13.58,13.52,0.04,0.0244,0.22,67.92,,
T,DP,Dipterocarpus alatus ,6,164,0.57,2.03,1.03,3.85,3.13,4.28,105.89,144.36,13.58,13.52,0.05,0.0305,0.31,117.36,,
T,DP,Dipterocarpus alatus ,6,164,0.57,2.03,1.03,4.23,3.13,4.28,105.89,144.36,13.58,13.52,0.06,0.0366,0.36,154.81,,
T,DP,Dipterocarpus alatus ,6,164,0.57,2.03,1.03,4.28,3.13,4.28,105.89,144.36,13.58,13.52,0.07,0.0427,0.43,182.79,,
T,DP,Dipterocarpus tonkinensis,1,190,0.750330445,1.623996868,0.62,10.99683947,8.250364147,11,178.2172893,212.4600532,15.60248149,6.031860315,0.02,0.0105,NA,NA,,
T,DP,Dipterocarpus tonkinensis,1,190,0.750330445,1.623996868,0.62,9.566896175,8.250364147,11,178.2172893,212.4600532,15.60248149,6.031860315,0.03,0.0158,NA,NA,,
T,DP,Dipterocarpus tonkinensis,1,190,0.750330445,1.623996868,0.62,0.997987847,8.250364147,11,178.2172893,212.4600532,15.60248149,6.031860315,0.04,0.0211,NA,NA,,
T,DP,Dipterocarpus tonkinensis,1,190,0.750330445,1.623996868,0.62,10.27699805,8.250364147,11,178.2172893,212.4600532,15.60248149,6.031860315,0.05,0.0263,NA,NA,,
T,DP,Dipterocarpus tonkinensis,1,190,0.750330445,1.623996868,0.62,9.431554351,8.250364147,11,178.2172893,212.4600532,15.60248149,6.031860315,0.06,0.0316,NA,NA,,
T,DP,Dipterocarpus tonkinensis,1,190,0.750330445,1.623996868,0.62,8.231908992,8.250364147,11,178.2172893,212.4600532,15.60248149,6.031860315,0.07,0.0368,NA,NA,,
T,DP,Dipterocarpus tonkinensis,2,172,0.673037236,1.745233969,0.75,9.387298758,8.89,9.52,186.0016374,228.9134836,20.60337293,6.874966062,0.02,0.0116,NA,NA,,
T,DP,Dipterocarpus tonkinensis,2,172,0.673037236,1.745233969,0.75,8.488453237,8.89,9.52,186.0016374,228.9134836,20.60337293,6.874966062,0.03,0.0174,NA,NA,,
T,DP,Dipterocarpus tonkinensis,2,172,0.673037236,1.745233969,0.75,9.33723044,8.89,9.52,186.0016374,228.9134836,20.60337293,6.874966062,0.04,0.0233,NA,NA,,
T,DP,Dipterocarpus tonkinensis,2,172,0.673037236,1.745233969,0.75,9.51951999,8.89,9.52,186.0016374,228.9134836,20.60337293,6.874966062,0.05,0.0291,NA,NA,,
T,DP,Dipterocarpus tonkinensis,2,172,0.673037236,1.745233969,0.75,8.766383493,8.89,9.52,186.0016374,228.9134836,20.60337293,6.874966062,0.06,0.0349,NA,NA,,
T,DP,Dipterocarpus tonkinensis,2,172,0.673037236,1.745233969,0.75,7.848610298,8.89,9.52,186.0016374,228.9134836,20.60337293,6.874966062,0.07,0.0407,NA,NA,,
T,DP,Dipterocarpus tonkinensis,3,178,0.691514037,1.615891742,0.62,10.64921384,12.16,14.32,116.8997781,167.6047619,13.53711112,11.08865494,0.02,0.0112,NA,NA,,
T,DP,Dipterocarpus tonkinensis,3,178,0.691514037,1.615891742,0.62,10.05014975,12.16,14.32,116.8997781,167.6047619,13.53711112,11.08865494,0.03,0.0169,NA,NA,,
T,DP,Dipterocarpus tonkinensis,3,178,0.691514037,1.615891742,0.62,12.30796833,12.16,14.32,116.8997781,167.6047619,13.53711112,11.08865494,0.04,0.0225,NA,NA,,
T,DP,Dipterocarpus tonkinensis,3,178,0.691514037,1.615891742,0.62,14.32196316,12.16,14.32,116.8997781,167.6047619,13.53711112,11.08865494,0.05,0.0281,NA,NA,,
T,DP,Dipterocarpus tonkinensis,3,178,0.691514037,1.615891742,0.62,13.33600629,12.16,14.32,116.8997781,167.6047619,13.53711112,11.08865494,0.06,0.0337,NA,NA,,
T,DP,Dipterocarpus tonkinensis,3,178,0.691514037,1.615891742,0.62,12.26677256,12.16,14.32,116.8997781,167.6047619,13.53711112,11.08865494,0.07,0.0393,NA,NA,,
T,DP,Dipterocarpus tonkinensis,4,201,0.728196867,1.621100008,0.62,6.878906378,8.19,7.6,NA,NA,NA,NA,0.02,0.01,0.425509703,68.44682963,,
T,DP,Dipterocarpus tonkinensis,4,201,0.728196867,1.621100008,0.62,8.056633616,8.19,7.6,NA,NA,NA,NA,0.03,0.0149,0.513919279,120.2482629,,
T,DP,Dipterocarpus tonkinensis,4,201,0.728196867,1.621100008,0.62,8.162603488,8.19,7.6,NA,NA,NA,NA,0.04,0.0199,0.606096983,162.4398704,,
T,DP,Dipterocarpus tonkinensis,4,201,0.728196867,1.621100008,0.62,8.187597762,8.19,7.6,NA,NA,NA,NA,0.05,0.0249,0.642235585,203.6715861,,
T,DP,Dipterocarpus tonkinensis,4,201,0.728196867,1.621100008,0.62,6.770744025,8.19,7.6,NA,NA,NA,NA,0.06,0.0299,0.626340366,202.1117619,,
